date,product,region,revenue,quantity,unit_price
2024-01-03,Widget A,North,1250.00,50,25.00
2024-01-05,Widget B,South,890.00,30,29.67
2024-01-07,Widget A,East,1875.00,75,25.00
2024-01-10,Widget C,West,2100.00,42,50.00
2024-01-12,Widget B,North,1335.00,45,29.67
2024-01-15,Widget A,South,750.00,30,25.00
2024-01-18,Widget C,East,3150.00,63,50.00
2024-01-20,Widget B,West,593.40,20,29.67
2024-01-22,Widget A,North,2500.00,100,25.00
2024-01-25,Widget C,South,1550.00,31,50.00
2024-01-28,Widget B,East,1186.80,40,29.67
2024-01-30,Widget A,West,1125.00,45,25.00
2024-02-02,Widget C,North,2750.00,55,50.00
2024-02-05,Widget A,South,1500.00,60,25.00
2024-02-08,Widget B,East,890.10,30,29.67
2024-02-10,Widget C,West,3500.00,70,50.00
2024-02-13,Widget A,North,1875.00,75,25.00
2024-02-15,Widget B,South,445.05,15,29.67
2024-02-18,Widget C,East,2050.00,41,50.00
2024-02-20,Widget A,West,2000.00,80,25.00
2024-02-22,Widget B,North,1780.20,60,29.67
2024-02-25,Widget C,South,1900.00,38,50.00
2024-02-28,Widget A,East,625.00,25,25.00
2024-03-02,Widget B,West,741.75,25,29.67
2024-03-05,Widget C,North,3250.00,65,50.00
2024-03-07,Widget A,South,2250.00,90,25.00
2024-03-10,Widget B,East,1483.50,50,29.67
2024-03-12,Widget C,West,2600.00,52,50.00
2024-03-15,Widget A,North,1375.00,55,25.00
2024-03-18,Widget B,South,1038.45,35,29.67
2024-03-20,Widget C,East,3650.00,73,50.00
2024-03-22,Widget A,West,1750.00,70,25.00
2024-03-25,Widget B,North,2077.00,70,29.67
2024-03-28,Widget C,South,2350.00,47,50.00
2024-03-30,Widget A,East,1000.00,40,25.00
2024-04-02,Widget B,West,890.10,30,29.67
2024-04-05,Widget C,North,4000.00,80,50.00
2024-04-07,Widget A,South,1625.00,65,25.00
2024-04-10,Widget B,East,1631.00,55,29.67
2024-04-12,Widget C,West,1750.00,35,50.00
2024-04-15,Widget A,North,2125.00,85,25.00
2024-04-18,Widget B,South,593.40,20,29.67
2024-04-20,Widget C,East,2900.00,58,50.00
2024-04-22,Widget A,West,1500.00,60,25.00
2024-04-25,Widget B,North,1186.80,40,29.67
2024-04-28,Widget C,South,3100.00,62,50.00
2024-04-30,Widget A,East,1250.00,50,25.00
2024-05-02,Widget B,West,1335.00,45,29.67
2024-05-05,Widget C,North,2500.00,50,50.00
2024-05-07,Widget A,South,875.00,35,25.00
2024-05-10,Widget B,East,741.75,25,29.67
2024-05-12,Widget C,West,3350.00,67,50.00
2024-05-15,Widget A,North,2750.00,110,25.00
2024-05-18,Widget B,South,1483.50,50,29.67
2024-05-20,Widget C,East,1600.00,32,50.00
2024-05-22,Widget A,West,2375.00,95,25.00
2024-05-25,Widget B,North,890.10,30,29.67
2024-05-28,Widget C,South,2200.00,44,50.00
2024-05-30,Widget A,East,1375.00,55,25.00
2024-06-02,Widget B,West,1186.80,40,29.67
2024-06-05,Widget C,North,3750.00,75,50.00
2024-06-07,Widget A,South,1125.00,45,25.00
2024-06-10,Widget B,East,2077.00,70,29.67
2024-06-12,Widget C,West,2450.00,49,50.00
2024-06-15,Widget A,North,1625.00,65,25.00
2024-06-18,Widget B,South,296.70,10,29.67
2024-06-20,Widget C,East,3400.00,68,50.00
2024-06-22,Widget A,West,2000.00,80,25.00
2024-06-25,Widget B,North,1631.00,55,29.67
2024-06-28,Widget C,South,1850.00,37,50.00
2024-06-30,Widget A,East,2250.00,90,25.00
2024-07-02,Widget B,West,445.05,15,29.67
2024-07-05,Widget C,North,2950.00,59,50.00
2024-07-07,Widget A,South,1750.00,70,25.00
2024-07-10,Widget B,East,1335.00,45,29.67
2024-07-12,Widget C,West,3100.00,62,50.00
2024-07-15,Widget A,North,3000.00,120,25.00
2024-07-18,Widget B,South,890.10,30,29.67
2024-07-20,Widget C,East,2550.00,51,50.00
2024-07-22,Widget A,West,1375.00,55,25.00
2024-07-25,Widget B,North,1780.20,60,29.67
2024-07-28,Widget C,South,2700.00,54,50.00
2024-07-30,Widget A,East,1500.00,60,25.00
2024-08-02,Widget B,West,1038.45,35,29.67
2024-08-05,Widget C,North,3500.00,70,50.00
2024-08-07,Widget A,South,2125.00,85,25.00
2024-08-10,Widget B,East,1928.55,65,29.67
2024-08-12,Widget C,West,1950.00,39,50.00
2024-08-15,Widget A,North,1250.00,50,25.00
2024-08-18,Widget B,South,741.75,25,29.67
2024-08-20,Widget C,East,2800.00,56,50.00
2024-08-22,Widget A,West,2625.00,105,25.00
2024-08-25,Widget B,North,1483.50,50,29.67
2024-08-28,Widget C,South,3200.00,64,50.00
2024-08-30,Widget A,East,1750.00,70,25.00
2024-09-02,Widget B,West,593.40,20,29.67
2024-09-05,Widget C,North,2650.00,53,50.00
2024-09-07,Widget A,South,1000.00,40,25.00
2024-09-10,Widget B,East,1186.80,40,29.67
2024-09-12,Widget C,West,3700.00,74,50.00
